time,Hesperocyoninae,Borophaginae,Caninae,Amphicyonidae,Nimravidae,Felidae,Barbourofelidae,Ursidae
11.9,1,22,3,4,0,5,4,1
11.8,1,22,3,4,0,5,4,1
11.7,1,22,3,4,0,5,4,1
11.6,1,21,3,3,0,5,4,1
11.5,1,20,3,3,0,7,4,1
11.4,1,20,3,2,0,7,4,1
11.3,0,20,3,2,0,8,4,1
11.2,0,19,3,2,0,8,4,2
11.1,0,20,3,2,0,8,5,2
11,0,20,3,2,0,8,5,2
10.9,0,19,3,1,0,7,5,2
10.8,0,19,3,1,0,7,5,2
10.7,0,19,3,1,0,7,5,2
10.6,0,18,3,1,0,7,5,2
10.5,0,18,3,1,0,7,5,2
10.4,0,18,3,1,0,7,5,2
10.3,0,18,3,1,0,7,5,2
10.2,0,18,3,1,0,7,5,2
10.1,0,18,3,1,0,7,5,3
10,0,18,3,1,0,8,5,3
9.9,0,20,3,1,0,8,5,3
9.8,0,20,3,1,0,8,5,3
9.7,0,20,3,1,0,7,5,3
9.6,0,19,3,1,0,7,5,3
9.5,0,19,2,1,0,7,5,3
9.4,0,19,2,1,0,7,4,3
9.3,0,17,2,1,0,7,4,3
9.2,0,17,2,1,0,7,4,3
9.1,0,15,2,1,0,7,3,3
9,0,14,2,1,0,7,2,3
8.9,0,12,2,1,0,8,2,3
8.8,0,12,2,1,0,8,2,3
8.7,0,12,2,1,0,8,2,3
8.6,0,12,2,1,0,8,2,3
8.5,0,12,2,1,0,8,2,2
8.4,0,12,2,1,0,8,2,2
8.3,0,12,2,1,0,9,2,2
8.2,0,12,2,1,0,9,1,3
8.1,0,12,2,1,0,10,1,3
8,0,12,2,1,0,10,1,2
7.9,0,11,3,1,0,10,1,2
7.8,0,11,3,1,0,9,1,2
7.7,0,10,3,1,0,9,1,2
7.6,0,10,3,1,0,9,1,2
7.5,0,10,4,1,0,9,1,2
7.4,0,10,4,1,0,9,1,2
7.3,0,10,4,1,0,9,1,2
7.2,0,10,4,1,0,8,1,2
7.1,0,10,4,1,0,8,1,2
7,0,10,4,1,0,8,1,2
6.9,0,10,4,1,0,8,1,2
6.8,0,10,4,1,0,8,1,2
6.7,0,10,4,1,0,8,1,2
6.59999999999999,0,10,4,1,0,8,1,2
6.5,0,10,4,1,0,9,1,2
6.4,0,10,4,1,0,9,1,2
6.3,0,10,4,1,0,10,1,2
6.2,0,10,4,1,0,9,1,2
6.09999999999999,0,10,4,1,0,9,1,2
6,0,10,4,1,0,9,1,2
5.9,0,10,4,1,0,9,1,2
5.8,0,10,4,1,0,10,0,2
5.7,0,10,4,1,0,10,0,2
5.59999999999999,0,10,4,1,0,10,0,2
5.5,0,11,4,1,0,10,0,1
5.4,0,11,5,1,0,10,0,1
5.3,0,11,6,1,0,11,0,3
5.2,0,11,6,1,0,13,0,3
5.09999999999999,0,10,6,1,0,15,0,3
5,0,10,7,1,0,15,0,3
4.9,0,10,7,1,0,15,0,4
4.8,0,10,8,1,0,15,0,4
4.7,0,10,8,1,0,15,0,4
4.59999999999999,0,10,8,1,0,16,0,4
4.5,0,8,9,1,0,16,0,4
4.4,0,8,9,1,0,17,0,4
4.3,0,8,9,0,0,17,0,5
4.2,0,8,9,0,0,17,0,5
4.09999999999999,0,8,9,0,0,17,0,5
4,0,8,9,0,0,17,0,5
3.9,0,8,9,0,0,17,0,5
3.8,0,7,10,0,0,17,0,6
3.7,0,7,10,0,0,17,0,6
3.59999999999999,0,6,10,0,0,16,0,6
3.5,0,6,9,0,0,16,0,6
3.4,0,6,9,0,0,17,0,6
3.3,0,6,9,0,0,17,0,6
3.2,0,6,9,0,0,16,0,7
3.09999999999999,0,6,9,0,0,15,0,7
